Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-11GSP-0004_C31JT.3_1	GTEX-11GSP-0004_C31JT.3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23156242.0	0.0	76.0	49.0	83.45856333160373	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0004_C31JT.3_2	GTEX-11GSP-0004_C31JT.3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23156242.0	0.0	76.0	50.0	84.16354603076692	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0004_C31L3.5_1	GTEX-11GSP-0004_C31L3.5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22644918.0	0.0	76.0	49.0	83.29477158448182	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0004_C31L3.5_2	GTEX-11GSP-0004_C31L3.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22644918.0	0.0	76.0	50.0	84.03134356221771	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0004_C31L3.6_1	GTEX-11GSP-0004_C31L3.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22693013.0	0.0	76.0	49.0	83.35939992901959	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0004_C31L3.6_2	GTEX-11GSP-0004_C31L3.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22693013.0	0.0	76.0	50.0	83.92157938179317	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0002_C3715.1_1	GTEX-12WSD-0002_C3715.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23584489.0	0.0	76.0	49.0	83.19626376981326	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0002_C3715.1_2	GTEX-12WSD-0002_C3715.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23584489.0	0.0	76.0	49.0	83.75549557822696	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0002_C3715.2_1	GTEX-12WSD-0002_C3715.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23690318.0	0.0	76.0	49.0	83.39141309768277	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0002_C3715.2_2	GTEX-12WSD-0002_C3715.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23690318.0	0.0	76.0	49.0	83.95512128875188	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0002_C3JV3.5_1	GTEX-12WSD-0002_C3JV3.5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23945491.0	0.0	76.0	49.0	83.26316248049895	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0002_C3JV3.5_2	GTEX-12WSD-0002_C3JV3.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23945491.0	0.0	76.0	49.0	84.03668873915079	76.0	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-131YS-0003_C3TV7.3_1	GTEX-131YS-0003_C3TV7.3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20535609.0	0.0	76.0	49.0	83.23497984194937	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-131YS-0003_C3TV7.3_2	GTEX-131YS-0003_C3TV7.3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20535609.0	0.0	76.0	49.0	83.53322594353497	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-131YS-0003_C3TV7.4_1	GTEX-131YS-0003_C3TV7.4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20978082.0	0.0	76.0	49.0	82.77850613180264	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
