Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GTEX-11GSP-0004_C31JT.3_1	16.541436668396273	49.0	76.0	0.0	23156242.0
GTEX-11GSP-0004_C31JT.3_2	15.836453969233077	50.0	76.0	0.0	23156242.0
GTEX-11GSP-0004_C31L3.5_1	16.705228415518178	49.0	76.0	0.0	22644918.0
GTEX-11GSP-0004_C31L3.5_2	15.968656437782286	50.0	76.0	0.0	22644918.0
GTEX-11GSP-0004_C31L3.6_1	16.640600070980412	49.0	76.0	0.0	22693013.0
GTEX-11GSP-0004_C31L3.6_2	16.078420618206835	50.0	76.0	0.0	22693013.0
GTEX-12WSD-0002_C3715.1_1	16.803736230186743	49.0	76.0	0.0	23584489.0
GTEX-12WSD-0002_C3715.1_2	16.244504421773044	49.0	76.0	0.0	23584489.0
GTEX-12WSD-0002_C3715.2_1	16.608586902317228	49.0	76.0	0.0	23690318.0
GTEX-12WSD-0002_C3715.2_2	16.044878711248117	49.0	76.0	0.0	23690318.0
GTEX-12WSD-0002_C3JV3.5_1	16.73683751950105	49.0	76.0	0.0	23945491.0
GTEX-12WSD-0002_C3JV3.5_2	15.96331126084921	49.0	76.0	0.0	23945491.0
GTEX-131YS-0003_C3TV7.3_1	16.765020158050632	49.0	76.0	0.0	20535609.0
GTEX-131YS-0003_C3TV7.3_2	16.466774056465027	49.0	76.0	0.0	20535609.0
GTEX-131YS-0003_C3TV7.4_1	17.221493868197356	49.0	76.0	0.0	20978082.0
GTEX-131YS-0003_C3TV7.4_2	16.682667954244067	49.0	76.0	0.0	20978082.0
GTEX-131YS-0003_C3U0V.3_1	17.749863189526167	49.0	76.0	0.0	21470730.0
GTEX-131YS-0003_C3U0V.3_2	17.098143262347122	49.0	76.0	0.0	21470730.0
GTEX-14DAQ-0004_C3TY8.5_1	16.947499922269344	49.0	76.0	0.0	20991825.0
GTEX-14DAQ-0004_C3TY8.5_2	16.392806881698235	49.0	76.0	0.0	20991825.0
GTEX-14DAQ-0004_C3TY8.6_1	17.14579349405814	49.0	76.0	0.0	21110606.0
GTEX-14DAQ-0004_C3TY8.6_2	16.44428948037863	49.0	76.0	0.0	21110606.0
GTEX-14DAQ-0004_C3U3B.8_1	15.680368583345938	49.0	76.0	0.0	20915389.0
GTEX-14DAQ-0004_C3U3B.8_2	16.700948751457616	49.0	76.0	0.0	20915389.0
GTEX-15ER7-0002_C4N20.1_1	4.185143895066631	49.0	76.0	0.0	2617992.0
GTEX-15ER7-0002_C4N20.1_2	3.9796102377408005	50.0	76.0	0.0	2617992.0
GTEX-15ER7-0002_C4N20.2_1	4.006892919789067	50.0	76.0	0.0	2543884.0
GTEX-15ER7-0002_C4N20.2_2	3.8247071491521183	50.0	76.0	0.0	2543884.0
GTEX-15ER7-0002_C4N20.3_1	4.102356979474635	49.0	76.0	0.0	2541916.0
GTEX-15ER7-0002_C4N20.3_2	3.9491195286158245	50.0	76.0	0.0	2541916.0
GTEX-15ER7-0002_C4N20.4_1	4.086399806148762	49.0	76.0	0.0	2599864.0
