Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-11GSP-0004_C31JT.3_trimmed_read1	GTEX-11GSP-0004_C31JT.3_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21932115.0	0.0	10-76	49.0	84.9539235097524	74.23634492159101	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0004_C31JT.3_trimmed_read2	GTEX-11GSP-0004_C31JT.3_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21932115.0	0.0	10-76	49.0	85.55387865831325	73.49936930387243	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0004_C31L3.5_trimmed_read1	GTEX-11GSP-0004_C31L3.5_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22228228.0	0.0	10-76	49.0	84.38554188649144	74.94062225742871	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0004_C31L3.5_trimmed_read2	GTEX-11GSP-0004_C31L3.5_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22228228.0	0.0	10-76	50.0	85.11343755103758	74.49871595702545	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0004_C31L3.6_trimmed_read1	GTEX-11GSP-0004_C31L3.6_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22277483.0	0.0	10-76	49.0	84.49883226204891	74.91182527218179	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0004_C31L3.6_trimmed_read2	GTEX-11GSP-0004_C31L3.6_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22277483.0	0.0	10-76	50.0	85.07868668153046	74.44754274978013	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-12WSD-0002_C3715.1_trimmed_read1	GTEX-12WSD-0002_C3715.1_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23151764.0	0.0	10-76	48.0	84.64909457771493	74.77591348978851	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-12WSD-0002_C3715.1_trimmed_read2	GTEX-12WSD-0002_C3715.1_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23151764.0	0.0	10-76	49.0	85.0535626281299	74.41889862042477	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-12WSD-0002_C3715.2_trimmed_read1	GTEX-12WSD-0002_C3715.2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23250546.0	0.0	10-76	48.0	84.89298928514911	74.75013885695415	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-12WSD-0002_C3715.2_trimmed_read2	GTEX-12WSD-0002_C3715.2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23250546.0	0.0	10-76	49.0	85.4285027134302	74.38698196592888	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-12WSD-0002_C3JV3.5_trimmed_read1	GTEX-12WSD-0002_C3JV3.5_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23482030.0	0.0	10-76	49.0	84.54275231286047	74.90082859105452	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-12WSD-0002_C3JV3.5_trimmed_read2	GTEX-12WSD-0002_C3JV3.5_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23482030.0	0.0	10-76	49.0	85.1446795629063	74.51713484737053	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-131YS-0003_C3TV7.3_trimmed_read1	GTEX-131YS-0003_C3TV7.3_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20117249.0	0.0	10-76	49.0	84.85402613079356	74.64640856212498	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-131YS-0003_C3TV7.3_trimmed_read2	GTEX-131YS-0003_C3TV7.3_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20117249.0	0.0	10-76	49.0	84.99259374448604	74.2408294493944	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-131YS-0003_C3TV7.4_trimmed_read1	GTEX-131YS-0003_C3TV7.4_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20553940.0	0.0	10-76	49.0	84.30369260455518	74.66697324211319	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-131YS-0003_C3TV7.4_trimmed_read2	GTEX-131YS-0003_C3TV7.4_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20553940.0	0.0	10-76	49.0	84.74256622620518	74.18621947908771	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-131YS-0003_C3U0V.3_trimmed_read1	GTEX-131YS-0003_C3U0V.3_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20801590.0	0.0	10-76	49.0	83.63319223601336	74.95223740108328	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
