Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GTEX-11GSP-0004_C31JT.3_trimmed_read1	15.0460764902476	49.0	74.23634492159101	0.0	21932115.0
GTEX-11GSP-0004_C31JT.3_trimmed_read2	14.446121341686748	49.0	73.49936930387243	0.0	21932115.0
GTEX-11GSP-0004_C31L3.5_trimmed_read1	15.614458113508562	49.0	74.94062225742871	0.0	22228228.0
GTEX-11GSP-0004_C31L3.5_trimmed_read2	14.886562448962422	50.0	74.49871595702545	0.0	22228228.0
GTEX-11GSP-0004_C31L3.6_trimmed_read1	15.501167737951093	49.0	74.91182527218179	0.0	22277483.0
GTEX-11GSP-0004_C31L3.6_trimmed_read2	14.921313318469544	50.0	74.44754274978013	0.0	22277483.0
GTEX-12WSD-0002_C3715.1_trimmed_read1	15.350905422285066	48.0	74.77591348978851	0.0	23151764.0
GTEX-12WSD-0002_C3715.1_trimmed_read2	14.946437371870104	49.0	74.41889862042477	0.0	23151764.0
GTEX-12WSD-0002_C3715.2_trimmed_read1	15.107010714850887	48.0	74.75013885695415	0.0	23250546.0
GTEX-12WSD-0002_C3715.2_trimmed_read2	14.571497286569794	49.0	74.38698196592888	0.0	23250546.0
GTEX-12WSD-0002_C3JV3.5_trimmed_read1	15.457247687139528	49.0	74.90082859105452	0.0	23482030.0
GTEX-12WSD-0002_C3JV3.5_trimmed_read2	14.855320437093695	49.0	74.51713484737053	0.0	23482030.0
GTEX-131YS-0003_C3TV7.3_trimmed_read1	15.145973869206443	49.0	74.64640856212498	0.0	20117249.0
GTEX-131YS-0003_C3TV7.3_trimmed_read2	15.007406255513956	49.0	74.2408294493944	0.0	20117249.0
GTEX-131YS-0003_C3TV7.4_trimmed_read1	15.69630739544482	49.0	74.66697324211319	0.0	20553940.0
GTEX-131YS-0003_C3TV7.4_trimmed_read2	15.257433773794816	49.0	74.18621947908771	0.0	20553940.0
GTEX-131YS-0003_C3U0V.3_trimmed_read1	16.366807763986642	49.0	74.95223740108328	0.0	20801590.0
GTEX-131YS-0003_C3U0V.3_trimmed_read2	15.989446955995959	49.0	74.44849456219453	0.0	20801590.0
GTEX-14DAQ-0004_C3TY8.5_trimmed_read1	15.656210462391371	49.0	74.83685368051853	0.0	20686596.0
GTEX-14DAQ-0004_C3TY8.5_trimmed_read2	15.06223943907905	49.0	74.5512537683822	0.0	20686596.0
GTEX-14DAQ-0004_C3TY8.6_trimmed_read1	15.8839802374046	49.0	74.85442086597574	0.0	20810606.0
GTEX-14DAQ-0004_C3TY8.6_trimmed_read2	15.225094536071097	49.0	74.55941782762116	0.0	20810606.0
GTEX-14DAQ-0004_C3U3B.8_trimmed_read1	14.686497595881846	49.0	74.8249918742721	0.0	20595078.0
GTEX-14DAQ-0004_C3U3B.8_trimmed_read2	15.621713775965773	49.0	74.51631627712213	0.0	20595078.0
GTEX-15ER7-0002_C4N20.1_trimmed_read1	3.7855282715695466	49.0	74.08724392475219	0.0	2441958.0
GTEX-15ER7-0002_C4N20.1_trimmed_read2	3.639509395399571	49.0	73.52906724849485	0.0	2441958.0
GTEX-15ER7-0002_C4N20.2_trimmed_read1	3.6831215756163402	49.0	74.20392972382481	0.0	2375485.0
GTEX-15ER7-0002_C4N20.2_trimmed_read2	3.491837182273386	49.0	73.58381972523506	0.0	2375485.0
GTEX-15ER7-0002_C4N20.3_trimmed_read1	3.75766006907196	49.0	74.14920459622826	0.0	2372380.0
GTEX-15ER7-0002_C4N20.3_trimmed_read2	3.6033000622122273	49.0	73.6161643581551	0.0	2372380.0
GTEX-15ER7-0002_C4N20.4_trimmed_read1	3.73132130105337	49.0	74.03674521064444	0.0	2408205.0
GTEX-15ER7-0002_C4N20.4_trimmed_read2	3.5918612958769955	49.0	73.43893397779674	0.0	2408205.0
GTEX-15ER7-0002_C4N20.5_trimmed_read1	3.872147070252339	49.0	74.1609794702295	0.0	2427353.0
GTEX-15ER7-0002_C4N20.5_trimmed_read2	3.646836680618236	49.0	73.55263943892791	0.0	2427353.0
GTEX-15ER7-0002_C4N20.6_trimmed_read1	3.7628947551067995	49.0	74.18779784593788	0.0	2382104.0
GTEX-15ER7-0002_C4N20.6_trimmed_read2	3.6230715123199246	49.0	73.57299345452591	0.0	2382104.0
GTEX-15ER7-0002_C4N20.7_trimmed_read1	3.803885965250103	49.0	74.1015533749653	0.0	2396395.0
GTEX-15ER7-0002_C4N20.7_trimmed_read2	3.6075960153753783	49.0	73.47068826299504	0.0	2396395.0
GTEX-15ER7-0002_C4N20.8_trimmed_read1	3.6089952891285577	49.0	74.09278812220012	0.0	2364613.0
GTEX-15ER7-0002_C4N20.8_trimmed_read2	3.540680713404214	49.0	73.47272048322495	0.0	2364613.0
GTEX-15ER7-0002_C4RUH.1_trimmed_read1	3.6546106418012982	49.0	74.04569315653855	0.0	2283099.0
GTEX-15ER7-0002_C4RUH.1_trimmed_read2	3.3950022737560914	49.0	73.14024665597069	0.0	2283099.0
GTEX-15ER7-0002_C4RUH.2_trimmed_read1	3.5453532325949197	49.0	73.98262517686081	0.0	2266613.0
GTEX-15ER7-0002_C4RUH.2_trimmed_read2	3.3537475658116307	49.0	72.94926924005112	0.0	2266613.0
GTEX-15ER7-0002_C4RUH.3_trimmed_read1	3.4361859875406253	49.0	73.98391543107444	0.0	2229093.0
GTEX-15ER7-0002_C4RUH.3_trimmed_read2	3.143818498286379	49.0	72.86611908969253	0.0	2229093.0
GTEX-15ER7-0002_C4RUH.4_trimmed_read1	3.5205473750728515	49.0	74.16730228298704	0.0	2198129.0
GTEX-15ER7-0002_C4RUH.4_trimmed_read2	3.259009480699703	49.0	73.18956439772188	0.0	2198129.0
GTEX-15ER7-0002_C4RUH.5_trimmed_read1	3.441202422594415	49.0	74.11045609258616	0.0	2206723.0
GTEX-15ER7-0002_C4RUH.5_trimmed_read2	3.1597270657217678	49.0	72.98255195599991	0.0	2206723.0
GTEX-15ER7-0002_C4RUH.6_trimmed_read1	3.5695987483684917	49.0	74.06304184175914	0.0	2222397.0
GTEX-15ER7-0002_C4RUH.6_trimmed_read2	3.243713788502518	49.0	73.06217475995513	0.0	2222397.0
GTEX-15ER7-0002_C4RUH.7_trimmed_read1	3.525383629528278	49.0	74.02120313418953	0.0	2234198.0
GTEX-15ER7-0002_C4RUH.7_trimmed_read2	3.2659313612055882	49.0	73.10296849249708	0.0	2234198.0
GTEX-15ER7-0002_C4RUH.8_trimmed_read1	3.321253685296128	49.0	73.88232788614187	0.0	2159951.0
GTEX-15ER7-0002_C4RUH.8_trimmed_read2	3.121922583889102	49.0	73.01597860321831	0.0	2159951.0
GTEX-1A32A-0001_C40JE.1_trimmed_read1	3.4453062036869255	48.0	74.97676184763294	0.0	2907374.0
GTEX-1A32A-0001_C40JE.1_trimmed_read2	3.4138344050816585	48.0	74.57886739029792	0.0	2907374.0
GTEX-1A32A-0001_C40JE.2_trimmed_read1	3.627580873322742	48.0	75.1854037629159	0.0	2744680.0
GTEX-1A32A-0001_C40JE.2_trimmed_read2	3.4788502497895166	48.0	74.8350678403311	0.0	2744680.0
GTEX-1A32A-0001_C40JE.3_trimmed_read1	3.5073162285328294	48.0	74.96535264831577	0.0	2964469.0
GTEX-1A32A-0001_C40JE.3_trimmed_read2	3.6529853833377928	48.0	74.56971552072226	0.0	2964469.0
GTEX-1A32A-0001_C40JE.4_trimmed_read1	3.5544195568343326	48.0	74.99183675529954	0.0	2971245.0
GTEX-1A32A-0001_C40JE.4_trimmed_read2	3.4786309392912074	48.0	74.5801716115635	0.0	2971245.0
GTEX-1A32A-0001_C40JE.5_trimmed_read1	3.616550800570394	48.0	74.9582919113567	0.0	2982515.0
GTEX-1A32A-0001_C40JE.5_trimmed_read2	3.5727555105643916	48.0	74.58124167020115	0.0	2982515.0
GTEX-1A32A-0001_C40JE.6_trimmed_read1	3.5178276200254857	48.0	74.98291256462899	0.0	3025732.0
GTEX-1A32A-0001_C40JE.6_trimmed_read2	3.477354341603686	48.0	74.54521286088787	0.0	3025732.0
GTEX-1A32A-0001_C40JE.7_trimmed_read1	3.6515017154966074	48.0	74.92749336162903	0.0	3045928.0
GTEX-1A32A-0001_C40JE.7_trimmed_read2	3.578567386185469	48.0	74.47792068624078	0.0	3045928.0
GTEX-1A32A-0001_C40JE.8_trimmed_read1	3.5330199027849147	48.0	74.96050282688955	0.0	2976770.0
GTEX-1A32A-0001_C40JE.8_trimmed_read2	3.4892280951574435	48.0	74.5826664471894	0.0	2976770.0
GTEX-1A32A-0001_C40KK.1_trimmed_read1	1.4918027812558705	48.0	72.38710403483348	0.0	2523549.0
GTEX-1A32A-0001_C40KK.1_trimmed_read2	1.4220391868744997	48.0	71.57722081085012	0.0	2523549.0
GTEX-1A32A-0001_C40KK.2_trimmed_read1	1.3398423276692455	48.0	71.2626658016711	0.0	2558780.0
GTEX-1A32A-0001_C40KK.2_trimmed_read2	1.429362200397179	48.0	70.87681942175568	0.0	2558780.0
GTEX-1A32A-0001_C40KK.3_trimmed_read1	1.1503650331756319	48.0	70.8008762007274	0.0	2463819.0
GTEX-1A32A-0001_C40KK.3_trimmed_read2	1.3718823686038633	48.0	70.8776805439036	0.0	2463819.0
GTEX-1A32A-0001_C40KK.4_trimmed_read1	1.1842238154196423	48.0	70.73427359482311	0.0	2444710.0
GTEX-1A32A-0001_C40KK.4_trimmed_read2	1.408382729733205	48.0	70.9820371332387	0.0	2444710.0
GTEX-1A32A-0001_C40KK.5_trimmed_read1	1.1154015534800266	48.0	70.44955742372228	0.0	2410206.0
GTEX-1A32A-0001_C40KK.5_trimmed_read2	1.40087138404688	48.0	70.89059109470311	0.0	2410206.0
GTEX-1A32A-0001_C40KK.6_trimmed_read1	1.2904346190421023	48.0	70.65430578506597	0.0	2422427.0
GTEX-1A32A-0001_C40KK.6_trimmed_read2	1.406554174677538	48.0	70.96259907935307	0.0	2422427.0
GTEX-1A32A-0001_C40KK.7_trimmed_read1	1.2558754961236644	48.0	70.73836683154407	0.0	2448688.0
GTEX-1A32A-0001_C40KK.7_trimmed_read2	1.4867821246076716	48.0	70.9688559751181	0.0	2448688.0
GTEX-1A32A-0001_C40KK.8_trimmed_read1	1.3091352479377605	48.0	71.2966200334096	0.0	2558546.0
GTEX-1A32A-0001_C40KK.8_trimmed_read2	1.4744073935741682	48.0	71.05826512401966	0.0	2558546.0
GTEX-1A32A-0001_C4104.1_trimmed_read1	3.2807065065222076	48.0	75.22625760380852	0.0	2552175.0
GTEX-1A32A-0001_C4104.1_trimmed_read2	3.221858180035653	48.0	74.94248395975981	0.0	2552175.0
GTEX-1A32A-0001_C4104.2_trimmed_read1	3.628683760037859	48.0	75.15894003283795	0.0	2888731.0
GTEX-1A32A-0001_C4104.2_trimmed_read2	3.5422210646759424	48.0	74.82268996317067	0.0	2888731.0
GTEX-1A32A-0001_C4104.3_trimmed_read1	3.4929490324309853	48.0	75.15111823630642	0.0	2888030.0
GTEX-1A32A-0001_C4104.3_trimmed_read2	3.494494196123881	48.0	74.8329567213637	0.0	2888030.0
GTEX-1A32A-0001_C4104.4_trimmed_read1	3.479363511438109	48.0	75.07345335564904	0.0	2918124.0
GTEX-1A32A-0001_C4104.4_trimmed_read2	3.4641025675209676	48.0	74.68332051688002	0.0	2918124.0
GTEX-1A32A-0001_C4104.5_trimmed_read1	3.5353805577047552	48.0	75.14534825434	0.0	2842793.0
GTEX-1A32A-0001_C4104.5_trimmed_read2	3.5091930289665356	48.0	74.84408537659971	0.0	2842793.0
GTEX-1A32A-0001_C4104.6_trimmed_read1	3.55109251515438	48.0	75.18014358084616	0.0	2840351.0
GTEX-1A32A-0001_C4104.6_trimmed_read2	3.5539042608561857	48.0	74.86986713965985	0.0	2840351.0
GTEX-1A32A-0001_C4104.7_trimmed_read1	3.5915697853905186	48.0	75.17405903050292	0.0	2834975.0
GTEX-1A32A-0001_C4104.7_trimmed_read2	3.541067196441972	48.0	74.86838296634009	0.0	2834975.0
GTEX-1A8FM-0004_C40JE.1_trimmed_read1	3.8992607884538586	50.0	74.77284374277205	0.0	3203711.0
GTEX-1A8FM-0004_C40JE.1_trimmed_read2	3.9469425036446637	50.0	74.75290998470211	0.0	3203711.0
GTEX-1A8FM-0004_C40JE.2_trimmed_read1	4.11986132024262	50.0	75.00431784904417	0.0	3049435.0
GTEX-1A8FM-0004_C40JE.2_trimmed_read2	4.065144154567818	50.0	74.98144475943904	0.0	3049435.0
GTEX-1A8FM-0004_C40JE.3_trimmed_read1	4.040209928803165	50.0	74.76482521188359	0.0	3313612.0
GTEX-1A8FM-0004_C40JE.3_trimmed_read2	4.220552153747718	50.0	74.7148157358194	0.0	3313612.0
