Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-11GSP-0226_H79BA.1_1	GTEX-11GSP-0226_H79BA.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1818086.0	0.0	76.0	49.0	87.44001929191269	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0226_H79BA.1_2	GTEX-11GSP-0226_H79BA.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1818086.0	0.0	76.0	49.0	89.22564318161429	76.0	pass	fail	pass	fail	pass	warn	pass	pass	pass	pass
GTEX-11GSP-0226_H79BA.2_1	GTEX-11GSP-0226_H79BA.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1840763.0	0.0	76.0	49.0	87.37385183913175	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0226_H79BA.2_2	GTEX-11GSP-0226_H79BA.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1840763.0	0.0	76.0	49.0	89.73599892102752	76.0	pass	fail	pass	fail	pass	warn	pass	pass	pass	pass
GTEX-11GSP-0226_H7BAG.1_1	GTEX-11GSP-0226_H7BAG.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1470463.0	0.0	76.0	49.0	87.44354635730926	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-11GSP-0226_H7BAG.1_2	GTEX-11GSP-0226_H7BAG.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1470463.0	0.0	76.0	49.0	87.60440384994365	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0226_H7BAG.2_1	GTEX-11GSP-0226_H7BAG.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1489647.0	0.0	76.0	49.0	87.37850828920935	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-11GSP-0226_H7BAG.2_2	GTEX-11GSP-0226_H7BAG.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1489647.0	0.0	76.0	49.0	87.56724661033113	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0226_H7CLM.1_1	GTEX-11GSP-0226_H7CLM.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1646402.0	0.0	76.0	49.0	86.14844554798321	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-11GSP-0226_H7CLM.1_2	GTEX-11GSP-0226_H7CLM.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1646402.0	0.0	76.0	49.0	86.5432219126515	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-11GSP-0226_H7CLM.2_1	GTEX-11GSP-0226_H7CLM.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1623120.0	0.0	76.0	49.0	86.85128938166467	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-11GSP-0226_H7CLM.2_2	GTEX-11GSP-0226_H7CLM.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1623120.0	0.0	76.0	49.0	86.66434572088801	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-0226_H7CRH.1_1	GTEX-11GSP-0226_H7CRH.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	768529.0	0.0	76.0	49.0	89.83402644673278	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-11GSP-0226_H7CRH.1_2	GTEX-11GSP-0226_H7CRH.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	768529.0	0.0	76.0	49.0	89.88408965994444	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
