Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-11GSP-0226_H79BA.1_trimmed_read1	GTEX-11GSP-0226_H79BA.1_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1153228.0	0.0	55-76	48.0	88.74798974325785	75.6171511617824	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H79BA.1_trimmed_read2	GTEX-11GSP-0226_H79BA.1_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1153228.0	0.0	55-76	48.0	89.56764116373284	74.75899475212186	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H79BA.2_trimmed_read1	GTEX-11GSP-0226_H79BA.2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1079578.0	0.0	55-76	48.0	89.24052577547144	75.60938440761112	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H79BA.2_trimmed_read2	GTEX-11GSP-0226_H79BA.2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1079578.0	0.0	55-76	48.0	90.53474964012524	74.36687020298672	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H7BAG.1_trimmed_read1	GTEX-11GSP-0226_H7BAG.1_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1202405.0	0.0	55-76	48.0	87.65705327069476	75.74628349017178	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H7BAG.1_trimmed_read2	GTEX-11GSP-0226_H7BAG.1_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1202405.0	0.0	55-76	48.0	87.51779877557297	75.70428765682112	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H7BAG.2_trimmed_read1	GTEX-11GSP-0226_H7BAG.2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1222807.0	0.0	55-76	48.0	87.47260524631318	75.7493897238076	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H7BAG.2_trimmed_read2	GTEX-11GSP-0226_H7BAG.2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1222807.0	0.0	55-76	48.0	87.34291464867479	75.70470319518942	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H7CLM.1_trimmed_read1	GTEX-11GSP-0226_H7CLM.1_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1409848.0	0.0	55-76	49.0	86.44261708988954	75.73499909210071	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
GTEX-11GSP-0226_H7CLM.1_trimmed_read2	GTEX-11GSP-0226_H7CLM.1_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1409848.0	0.0	55-76	49.0	86.74122948446903	75.65780850134199	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
