PLCXD1,ENSG00000182378.8,X,escape
GTPBP6,ENSG00000178605.8,X,escape
PPP2R3B,ENSG00000167393.12,X,escape
SHOX,ENSG00000185960.8,X,escape
CSF2RA,ENSG00000198223.10,X,escape
IL3RA,ENSG00000185291.6,X,escape
SLC25A6,ENSG00000169100.8,X,escape
LINC00106,ENSG00000236871.2,X,escape
ASMTL-AS1,ENSG00000236017.3,X,escape
ASMTL,ENSG00000169093.10,X,escape
P2RY8,ENSG00000182162.5,X,escape
AKAP17A,ENSG00000197976.6,X,escape
ASMT,ENSG00000196433.7,X,escape
DHRSX,ENSG00000169084.8,X,escape
ZBED1,ENSG00000214717.5,X,escape
CD99P1,ENSG00000223773.2,X,escape
CD99,ENSG00000002586.13,X,escape
XG,ENSG00000124343.8,X,escape
GYG2,ENSG00000056998.14,X,escape
ARSD,ENSG00000006756.11,X,escape
ARSE,ENSG00000157399.10,X,escape
ARSH,ENSG00000205667.2,X,escape
ARSF,ENSG00000062096.10,X,escape
CXorf28,ENSG00000228459.2,X,escape
MXRA5,ENSG00000101825.7,X,escape
PRKX,ENSG00000183943.5,X,escape
RP11-706O15.1,ENSG00000205664.6,X,escape
HDHD1,ENSG00000130021.9,X,escape
STS,ENSG00000101846.6,X,escape
PNPLA4,ENSG00000006757.7,X,escape
KAL1,ENSG00000011201.6,X,escape
MSL3,ENSG00000005302.13,X,escape
FAM9C,ENSG00000187268.7,X,escape
GS1-600G8.5,ENSG00000235385.1,X,escape
TCEANC,ENSG00000176896.7,X,escape
RAB9A,ENSG00000123595.5,X,escape
TRAPPC2,ENSG00000196459.9,X,escape
OFD1,ENSG00000046651.10,X,escape
GPM6B,ENSG00000046653.10,X,escape
GEMIN8,ENSG00000046647.9,X,escape
ACE2,ENSG00000130234.6,X,escape
TMEM27,ENSG00000147003.5,X,escape
CA5BP1,ENSG00000186312.6,X,escape
CA5B,ENSG00000169239.8,X,escape
ZRSR2,ENSG00000169249.8,X,escape
AP1S2,ENSG00000182287.9,X,escape
S100G,ENSG00000169906.5,X,escape
SYAP1,ENSG00000169895.5,X,escape
TXLNG,ENSG00000086712.8,X,escape
EIF1AX,ENSG00000173674.6,X,escape
EIF2S3,ENSG00000130741.6,X,escape
ZFX,ENSG00000005889.11,X,escape
MAGEB18,ENSG00000176774.5,X,escape
VENTXP1,ENSG00000259849.1,X,escape
RP11-268G12.3,ENSG00000242021.2,X,escape
SMEK3P,ENSG00000224960.3,X,escape
MAGEB3,ENSG00000198798.4,X,escape
NR0B1,ENSG00000169297.6,X,escape
CXorf22,ENSG00000165164.8,X,escape
MPC1L,ENSG00000238205.1,X,escape
CXorf38,ENSG00000185753.8,X,escape
MED14,ENSG00000180182.6,X,escape
USP9X,ENSG00000124486.8,X,escape
DDX3X,ENSG00000215301.5,X,escape
MAOA,ENSG00000189221.5,X,escape
FUNDC1,ENSG00000069509.5,X,escape
KDM6A,ENSG00000147050.10,X,escape
RP6-99M1.2,ENSG00000270069.1,X,escape
UBA1,ENSG00000130985.12,X,escape
CDK16,ENSG00000102225.11,X,escape
KDM5C,ENSG00000126012.7,X,escape
IQSEC2,ENSG00000124313.8,X,escape
SMC1A,ENSG00000072501.13,X,escape
RIBC1,ENSG00000158423.12,X,escape
RPS4X,ENSG00000198034.6,X,escape
XIST,ENSG00000229807.5,X,escape
JPX,ENSG00000225470.2,X,escape
CPXCR1,ENSG00000147183.5,X,escape
NAP1L3,ENSG00000186310.9,X,escape
PCDH19,ENSG00000165194.10,X,escape
SYTL4,ENSG00000102362.11,X,escape
NOX1,ENSG00000007952.13,X,escape
TAF7L,ENSG00000102387.11,X,escape
NXF5,ENSG00000126952.12,X,escape
PIH1D3,ENSG00000080572.8,X,escape
ZCCHC16,ENSG00000187823.2,X,escape
HTR2C,ENSG00000147246.5,X,escape
CXorf64,ENSG00000183631.4,X,escape
HS6ST2,ENSG00000171004.13,X,escape
GPR112,ENSG00000156920.6,X,escape
VGLL1,ENSG00000102243.8,X,escape
MAGEC3,ENSG00000165509.9,X,escape
PASD1,ENSG00000166049.10,X,escape
CNGA2,ENSG00000183862.5,X,escape
MAGEA4,ENSG00000147381.7,X,escape
MAGEA12,ENSG00000213401.4,X,escape
PLXNB3,ENSG00000198753.7,X,escape
RENBP,ENSG00000102032.8,X,escape
IKBKG,ENSG00000073009.8,X,escape
