chr	mean	median
chr1	0.632900413557659	0.6
chr2	0.624328366778922	0.6
chr3	0.633469248549098	0.600946372239748
chr4	0.640382020440122	0.609756097560976
chr5	0.648637264749331	0.607142857142857
chr6	0.629888157098017	0.6
chr7	0.637617248537557	0.6
chr8	0.62009284896463	0.588235294117647
chr9	0.627036650072236	0.6
chr10	0.642315680540183	0.6
chr11	0.64093393958957	0.6
chr12	0.646742328798108	0.615384615384615
chr13	0.628605501944512	0.6
chr14	0.648516164418484	0.611111111111111
chr15	0.633770764656511	0.604651162790698
chr16	0.635580968846784	0.6
chr17	0.622795786939494	0.6
chr18	0.620410862110572	0.6
chr19	0.637462786693837	0.6
chr20	0.64838495357872	0.603448275862069
